,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,91,0.15278,0.16667,0.31944,0.375,0.38889,0.38889,0.38889,0.41667,0.44444,0.43056,0.43056
nef_Ra,92,0.15278,0.09722,0.27778,0.38889,0.47222,0.47222,0.47222,0.45833,0.45833,0.47222,0.47222
nef_Ra,93,0.19444,0.15278,0.30556,0.29167,0.34722,0.36111,0.375,0.40278,0.40278,0.40278,0.40278
nef_Ra,94,0.13699,0.09589,0.24658,0.31507,0.36986,0.32877,0.31507,0.34247,0.34247,0.35616,0.36986
nef_Ra,95,0.19444,0.08333,0.25,0.30556,0.33333,0.36111,0.40278,0.41667,0.44444,0.41667,0.41667
nef_Ra,96,0.13889,0.125,0.26389,0.33333,0.34722,0.375,0.375,0.38889,0.40278,0.38889,0.40278
nef_Ra,97,0.15278,0.15278,0.31944,0.29167,0.34722,0.36111,0.38889,0.40278,0.43056,0.44444,0.43056
nef_Ra,98,0.13699,0.08219,0.24658,0.32877,0.41096,0.43836,0.42466,0.43836,0.45205,0.45205,0.43836
nef_Ra,99,0.22222,0.16667,0.26389,0.30556,0.375,0.38889,0.41667,0.375,0.375,0.36111,0.38889
nef_Ra,100,0.23611,0.15278,0.27778,0.33333,0.34722,0.34722,0.38889,0.41667,0.38889,0.38889,0.375
nef_Ra,101,0.16667,0.16667,0.31944,0.43056,0.40278,0.45833,0.47222,0.40278,0.43056,0.41667,0.43056
nef_Ra,102,0.12329,0.09589,0.21918,0.28767,0.36986,0.39726,0.41096,0.42466,0.39726,0.43836,0.43836
nef_Ra,103,0.125,0.08333,0.22222,0.31944,0.40278,0.41667,0.41667,0.40278,0.40278,0.40278,0.41667
nef_Ra,104,0.16667,0.15278,0.26389,0.34722,0.38889,0.375,0.36111,0.375,0.33333,0.33333,0.375
nef_Ra,105,0.16667,0.15278,0.30556,0.375,0.43056,0.47222,0.48611,0.48611,0.5,0.5,0.5
nef_Ra,106,0.19178,0.15068,0.28767,0.26027,0.30137,0.32877,0.32877,0.32877,0.34247,0.32877,0.35616
nef_Ra,107,0.15278,0.13889,0.23611,0.36111,0.375,0.40278,0.43056,0.43056,0.45833,0.45833,0.45833
