,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
roc_auc,7,0.65078,0.81816,0.80178,0.78367,0.79669,0.76948,0.8014
roc_auc,8,0.68292,0.77798,0.79169,0.76343,0.80234,0.79092,0.81516
roc_auc,9,0.64282,0.83865,0.85263,0.80875,0.83398,0.82718,0.83737
roc_auc,10,0.67689,0.79568,0.85528,0.84136,0.80749,0.78501,0.83745
roc_auc,11,0.61574,0.8121,0.83228,0.83767,0.83831,0.83045,0.83644
roc_auc,12,0.6752,0.79907,0.81491,0.79153,0.77875,0.78226,0.82437
roc_auc,13,0.67258,0.80972,0.83478,0.80981,0.81323,0.8194,0.84686
roc_auc,14,0.6512,0.79125,0.82329,0.78792,0.81742,0.80216,0.84928
roc_auc,15,0.60635,0.8376,0.8413,0.80397,0.79941,0.76709,0.83045
roc_auc,16,0.64999,0.78238,0.80212,0.83609,0.80093,0.80524,0.84204
roc_auc,17,0.63931,0.80185,0.84824,0.78253,0.84561,0.79556,0.84772
roc_auc,18,0.6953,0.84078,0.85396,0.83308,0.84051,0.84439,0.83864
roc_auc,19,0.64772,0.78171,0.7874,0.80492,0.77764,0.7633,0.81143
roc_auc,20,0.69183,0.8093,0.84018,0.81424,0.81525,0.82019,0.84024
roc_auc,21,0.66104,0.82397,0.83563,0.80173,0.80212,0.81702,0.82416
roc_auc,22,0.64069,0.77605,0.80461,0.77859,0.81094,0.81369,0.83326
roc_auc,23,0.64503,0.80504,0.77929,0.83488,0.82225,0.78779,0.82834
roc_auc,24,0.65598,0.78485,0.78342,0.76236,0.78885,0.78186,0.79892
roc_auc,25,0.66705,0.75949,0.82138,0.83667,0.81619,0.81821,0.86414
roc_auc,26,0.6816,0.79256,0.84815,0.78024,0.7789,0.79287,0.82559
roc_auc,27,0.62699,0.79033,0.81602,0.82754,0.80538,0.79709,0.84094
roc_auc,28,0.66742,0.86386,0.8241,0.84143,0.81622,0.78329,0.84747
roc_auc,29,0.60751,0.71307,0.77563,0.71527,0.75412,0.73987,0.75674
roc_auc,30,0.72224,0.8339,0.84873,0.8709,0.83075,0.83494,0.86677
roc_auc,31,0.71138,0.78553,0.81143,0.76202,0.81849,0.77492,0.81837
roc_auc,32,0.68945,0.83066,0.84607,0.79092,0.78928,0.82944,0.81381
