,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
roc_auc,66,0.76322,0.83196,0.87393,0.88891,0.90223,0.91179,0.91637
roc_auc,67,0.73701,0.83495,0.86466,0.88679,0.89419,0.88549,0.89054
roc_auc,68,0.75728,0.83746,0.86085,0.87756,0.88281,0.88937,0.8816
roc_auc,69,0.73527,0.79343,0.84346,0.84794,0.87654,0.88596,0.87686
roc_auc,70,0.72978,0.85625,0.89963,0.91645,0.91833,0.92145,0.91725
roc_auc,71,0.7727,0.84071,0.90441,0.91806,0.92512,0.91833,0.92708
roc_auc,72,0.74054,0.82452,0.85838,0.86549,0.87091,0.87384,0.87737
roc_auc,73,0.76782,0.85319,0.90875,0.92135,0.93211,0.94574,0.94767
roc_auc,74,0.72978,0.80775,0.8565,0.87153,0.89563,0.89311,0.89676
roc_auc,75,0.78794,0.8424,0.88953,0.88701,0.8865,0.8864,0.88971
roc_auc,76,0.73029,0.80933,0.83686,0.86748,0.86511,0.89433,0.88763
roc_auc,77,0.74983,0.85169,0.87328,0.86978,0.90103,0.89946,0.90147
roc_auc,78,0.77728,0.87478,0.91718,0.93564,0.94245,0.94784,0.94554
roc_auc,79,0.73404,0.80868,0.86407,0.8701,0.88762,0.89093,0.89593
roc_auc,80,0.74831,0.8258,0.86796,0.89972,0.89239,0.89038,0.88668
roc_auc,81,0.75539,0.86059,0.89471,0.89716,0.91245,0.91326,0.91674
roc_auc,82,0.76775,0.81797,0.86799,0.89162,0.90643,0.90463,0.89831
roc_auc,83,0.75696,0.8165,0.84561,0.85846,0.87115,0.8926,0.8814
roc_auc,84,0.75075,0.83035,0.8667,0.88516,0.89159,0.89803,0.89984
roc_auc,85,0.76331,0.84305,0.88214,0.87881,0.88972,0.89801,0.89885
roc_auc,86,0.77054,0.84564,0.8777,0.87914,0.89811,0.89591,0.89027
roc_auc,87,0.75985,0.81618,0.869,0.889,0.90534,0.91762,0.91929
roc_auc,88,0.77317,0.83992,0.88682,0.89423,0.90011,0.91227,0.90369
roc_auc,89,0.77245,0.83243,0.89083,0.88417,0.89821,0.91667,0.90652
roc_auc,90,0.77154,0.83559,0.88757,0.89118,0.89824,0.89368,0.91304
roc_auc,91,0.74988,0.8465,0.89865,0.90699,0.9177,0.92331,0.91623
roc_auc,92,0.72272,0.82172,0.89329,0.90032,0.91225,0.91755,0.91909
roc_auc,93,0.74674,0.83213,0.87368,0.89172,0.89824,0.9,0.90865
roc_auc,94,0.80074,0.84765,0.8835,0.89488,0.91404,0.91914,0.91578
roc_auc,95,0.78615,0.83304,0.86201,0.87336,0.89304,0.88926,0.88782
roc_auc,96,0.78096,0.83134,0.88586,0.88557,0.90378,0.91266,0.91486
roc_auc,97,0.72147,0.81488,0.87201,0.88125,0.8836,0.89618,0.8877
roc_auc,98,0.80635,0.87868,0.8811,0.88917,0.88725,0.90201,0.89547
roc_auc,99,0.77679,0.83463,0.88488,0.899,0.90561,0.90711,0.90025
roc_auc,100,0.78672,0.85959,0.89382,0.90248,0.90233,0.90739,0.90516
roc_auc,101,0.73581,0.82691,0.8727,0.88591,0.90804,0.90451,0.90287
roc_auc,102,0.72971,0.79414,0.82703,0.83444,0.8573,0.85843,0.87681
roc_auc,103,0.77733,0.86733,0.90983,0.92012,0.92711,0.93137,0.92806
roc_auc,104,0.75497,0.85838,0.87406,0.89077,0.89846,0.90586,0.89887
roc_auc,105,0.77238,0.81843,0.86797,0.89005,0.88949,0.90926,0.90118
roc_auc,106,0.79716,0.86083,0.91618,0.89108,0.91814,0.92387,0.92566
roc_auc,107,0.78574,0.8277,0.87125,0.88157,0.87858,0.8774,0.89392
roc_auc,108,0.73242,0.83172,0.86168,0.8677,0.8705,0.86859,0.87708
roc_auc,109,0.78196,0.82346,0.89613,0.89936,0.91576,0.91939,0.9175
roc_auc,110,0.76532,0.83667,0.86647,0.87235,0.88613,0.88934,0.8851
roc_auc,111,0.78321,0.8565,0.89819,0.89853,0.90368,0.91025,0.90806
roc_auc,112,0.7597,0.86119,0.8951,0.90153,0.90886,0.89551,0.90383
roc_auc,113,0.76961,0.82603,0.85679,0.86775,0.89059,0.89458,0.90417
roc_auc,114,0.756,0.83718,0.90047,0.90738,0.91946,0.92855,0.93554
roc_auc,115,0.75279,0.79338,0.83632,0.84299,0.8638,0.8649,0.85733
roc_auc,116,0.75568,0.81047,0.85913,0.86354,0.87938,0.88264,0.8803
roc_auc,117,0.74468,0.80434,0.8561,0.88015,0.90963,0.91135,0.91257
roc_auc,118,0.76525,0.82681,0.87534,0.8789,0.88194,0.87917,0.87495
roc_auc,119,0.74984,0.85289,0.89963,0.89865,0.89966,0.90064,0.90083
