,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
roc_auc,61,0.72897,0.73203,0.79662,0.83083,0.82187,0.80639,0.85072,0.84389,0.87849
roc_auc,62,0.74979,0.7795,0.81917,0.85665,0.82907,0.84996,0.86048,0.87524,0.87942
roc_auc,63,0.80966,0.82466,0.8594,0.8682,0.89645,0.89638,0.90496,0.91934,0.93196
roc_auc,64,0.74452,0.81115,0.82483,0.84266,0.86927,0.88686,0.89365,0.90878,0.93349
roc_auc,65,0.73518,0.83985,0.8363,0.85197,0.86335,0.87002,0.87681,0.89374,0.90671
roc_auc,66,0.75851,0.79952,0.85321,0.87702,0.86959,0.88818,0.87877,0.88898,0.89796
roc_auc,67,0.75034,0.78148,0.84527,0.85649,0.84621,0.84085,0.85553,0.86587,0.88045
roc_auc,68,0.76631,0.81344,0.85465,0.85901,0.8644,0.87529,0.88718,0.88071,0.88692
roc_auc,69,0.72667,0.77805,0.8185,0.84411,0.8397,0.86125,0.8834,0.87554,0.89849
roc_auc,70,0.73085,0.83637,0.84387,0.88359,0.88938,0.88042,0.90065,0.90336,0.91924
roc_auc,71,0.73838,0.81097,0.85657,0.85301,0.88243,0.87784,0.88763,0.90445,0.90152
roc_auc,72,0.76356,0.792,0.81552,0.82236,0.85654,0.86345,0.86397,0.86421,0.87306
roc_auc,73,0.7366,0.81414,0.83737,0.86016,0.87265,0.87938,0.88398,0.89105,0.89833
roc_auc,74,0.72768,0.78003,0.81794,0.84931,0.87274,0.88231,0.89618,0.89435,0.90969
roc_auc,75,0.7446,0.81109,0.8349,0.87104,0.86351,0.85048,0.86841,0.9005,0.90187
roc_auc,76,0.78428,0.80797,0.88932,0.89179,0.88659,0.90107,0.89821,0.91412,0.9308
roc_auc,77,0.73944,0.74192,0.76458,0.81476,0.84678,0.83669,0.83847,0.83381,0.85923
roc_auc,78,0.74688,0.80352,0.83777,0.86278,0.8581,0.86236,0.87766,0.8872,0.88832
roc_auc,79,0.75933,0.82806,0.85568,0.88306,0.89171,0.88728,0.89631,0.91322,0.93757
roc_auc,80,0.69121,0.77779,0.79517,0.8167,0.85599,0.8596,0.87265,0.88921,0.86738
roc_auc,81,0.72203,0.7636,0.82746,0.83541,0.83951,0.86029,0.87921,0.87046,0.9149
roc_auc,82,0.76296,0.82094,0.86765,0.90106,0.91186,0.91606,0.92378,0.92102,0.93842
roc_auc,83,0.7491,0.8779,0.88242,0.88708,0.89877,0.87502,0.90282,0.89885,0.92367
