,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
nef_Ra,115,0.29333,0.4,0.41333,0.48,0.46667,0.41333,0.4,0.41333,0.42667
nef_Ra,116,0.34667,0.37333,0.34667,0.4,0.45333,0.45333,0.42667,0.45333,0.42667
nef_Ra,117,0.26667,0.38667,0.28,0.45333,0.45333,0.45333,0.38667,0.38667,0.45333
nef_Ra,118,0.32,0.38667,0.37333,0.48,0.42667,0.46667,0.50667,0.49333,0.52
nef_Ra,119,0.30667,0.25333,0.33333,0.42667,0.38667,0.30667,0.37333,0.37333,0.42667
roc_auc,0,0.73792,0.79819,0.79814,0.86803,0.82772,0.8415,0.85932,0.88441,0.87738
roc_auc,1,0.77189,0.80756,0.80463,0.85952,0.8301,0.84493,0.86024,0.86083,0.86413
roc_auc,2,0.73573,0.79185,0.78209,0.85435,0.82919,0.83945,0.84647,0.87078,0.88467
roc_auc,3,0.70254,0.74733,0.78078,0.81917,0.80156,0.78791,0.79576,0.85164,0.84368
roc_auc,4,0.78953,0.80987,0.8178,0.86535,0.83057,0.87145,0.85586,0.88218,0.91014
roc_auc,5,0.71521,0.77391,0.76869,0.84433,0.80943,0.79714,0.84081,0.85083,0.85203
roc_auc,6,0.72749,0.77342,0.78099,0.80702,0.81715,0.81541,0.83428,0.8641,0.84434
roc_auc,7,0.73893,0.73793,0.81815,0.83011,0.82347,0.81455,0.82539,0.83993,0.83167
roc_auc,8,0.73784,0.77544,0.76337,0.80416,0.80272,0.81733,0.82115,0.84292,0.84827
roc_auc,9,0.72274,0.77689,0.79381,0.86876,0.85834,0.84766,0.82161,0.86135,0.84327
roc_auc,10,0.7745,0.78421,0.81498,0.845,0.83949,0.85144,0.83889,0.85773,0.84658
roc_auc,11,0.72152,0.77943,0.77909,0.85263,0.82455,0.83064,0.83281,0.8628,0.8517
roc_auc,12,0.76749,0.81271,0.80119,0.86588,0.86261,0.85412,0.86549,0.86748,0.87517
roc_auc,13,0.77345,0.78909,0.81832,0.84009,0.83529,0.83607,0.83756,0.86476,0.85434
roc_auc,14,0.72963,0.7629,0.74881,0.82347,0.78674,0.81518,0.82668,0.84006,0.84423
roc_auc,15,0.7274,0.77148,0.7686,0.82427,0.82437,0.79443,0.82153,0.83692,0.82685
roc_auc,16,0.75595,0.71016,0.80406,0.86677,0.81462,0.81659,0.8331,0.85996,0.84173
roc_auc,17,0.73272,0.76829,0.77476,0.84846,0.82089,0.83993,0.8218,0.84512,0.83636
roc_auc,18,0.79568,0.77801,0.80363,0.83653,0.84458,0.82737,0.85908,0.88828,0.88526
roc_auc,19,0.70414,0.7538,0.74783,0.82465,0.77726,0.80256,0.7988,0.8243,0.83782
roc_auc,20,0.71475,0.77501,0.81204,0.83631,0.83217,0.82087,0.8559,0.86495,0.85736
roc_auc,21,0.74543,0.77364,0.84227,0.86862,0.85009,0.86196,0.87554,0.85913,0.87808
roc_auc,22,0.72875,0.75599,0.76187,0.8141,0.81696,0.78745,0.82278,0.83111,0.80903
