,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
nef_Ra,98,0.34513,0.42478,0.46903,0.48673,0.45133,0.52212,0.50442,0.57522,0.56637,0.56637
nef_Ra,99,0.34821,0.39286,0.4375,0.45536,0.53571,0.54464,0.49107,0.5625,0.53571,0.5625
nef_Ra,100,0.39286,0.42857,0.45536,0.47321,0.47321,0.46429,0.5,0.5625,0.61607,0.63393
nef_Ra,101,0.38053,0.46018,0.47788,0.54867,0.53982,0.55752,0.53982,0.55752,0.61947,0.61062
nef_Ra,102,0.32743,0.42478,0.46903,0.47788,0.49558,0.54867,0.55752,0.60177,0.54867,0.59292
nef_Ra,103,0.33929,0.38393,0.41964,0.41964,0.46429,0.5,0.48214,0.53571,0.54464,0.57143
nef_Ra,104,0.36607,0.375,0.42857,0.51786,0.55357,0.55357,0.59821,0.57143,0.61607,0.65179
nef_Ra,105,0.42478,0.43363,0.42478,0.45133,0.52212,0.53982,0.52212,0.51327,0.57522,0.61062
nef_Ra,106,0.38938,0.43363,0.45133,0.46903,0.51327,0.48673,0.48673,0.48673,0.51327,0.57522
nef_Ra,107,0.32143,0.40179,0.5,0.54464,0.50893,0.48214,0.51786,0.54464,0.55357,0.58929
nef_Ra,108,0.35714,0.46429,0.45536,0.5,0.51786,0.53571,0.57143,0.57143,0.58036,0.58036
nef_Ra,109,0.38053,0.36283,0.43363,0.51327,0.53097,0.53097,0.55752,0.53982,0.59292,0.61947
nef_Ra,110,0.38938,0.43363,0.50442,0.51327,0.53982,0.55752,0.55752,0.56637,0.58407,0.60177
nef_Ra,111,0.39286,0.41964,0.46429,0.51786,0.54464,0.51786,0.5625,0.58929,0.5625,0.58929
nef_Ra,112,0.39286,0.4375,0.47321,0.48214,0.51786,0.50893,0.53571,0.58929,0.5625,0.59821
nef_Ra,113,0.36283,0.44248,0.46018,0.44248,0.46903,0.48673,0.54867,0.54867,0.57522,0.61947
nef_Ra,114,0.38938,0.50442,0.48673,0.57522,0.59292,0.56637,0.55752,0.60177,0.63717,0.67257
nef_Ra,115,0.33929,0.39286,0.4375,0.47321,0.50893,0.52679,0.53571,0.58036,0.57143,0.57143
nef_Ra,116,0.40179,0.48214,0.52679,0.52679,0.50893,0.54464,0.53571,0.58036,0.58929,0.63393
nef_Ra,117,0.39823,0.46903,0.48673,0.57522,0.55752,0.56637,0.60177,0.57522,0.59292,0.61947
nef_Ra,118,0.30973,0.30973,0.35398,0.41593,0.42478,0.44248,0.49558,0.49558,0.57522,0.62832
nef_Ra,119,0.36607,0.46429,0.46429,0.51786,0.51786,0.5,0.52679,0.53571,0.55357,0.57143
roc_auc,0,0.73671,0.73641,0.77157,0.80843,0.82505,0.83635,0.85679,0.86098,0.86739,0.89303
roc_auc,1,0.73603,0.78509,0.81113,0.83256,0.84344,0.84544,0.85814,0.85849,0.88271,0.89807
roc_auc,2,0.74114,0.75798,0.76759,0.81621,0.80624,0.83135,0.8396,0.85159,0.85414,0.86216
roc_auc,3,0.76013,0.79545,0.82133,0.86917,0.84182,0.86175,0.87201,0.85963,0.88992,0.89005
roc_auc,4,0.71446,0.7532,0.78198,0.79609,0.79383,0.8157,0.83546,0.83615,0.84946,0.87297
roc_auc,5,0.72454,0.77911,0.83404,0.81988,0.83846,0.85968,0.86848,0.86082,0.88424,0.89576
roc_auc,6,0.78631,0.81067,0.84785,0.86023,0.85702,0.85793,0.88482,0.87969,0.88309,0.91482
roc_auc,7,0.76365,0.76503,0.81268,0.82942,0.84884,0.84722,0.86318,0.87001,0.90321,0.91179
roc_auc,8,0.75228,0.81366,0.83384,0.84018,0.85503,0.87774,0.88885,0.88501,0.90633,0.92187
roc_auc,9,0.73442,0.76163,0.78748,0.83294,0.82139,0.82972,0.8469,0.85931,0.86842,0.88488
roc_auc,10,0.68165,0.75137,0.77557,0.80143,0.80693,0.80866,0.80938,0.82984,0.85838,0.85924
roc_auc,11,0.72584,0.74665,0.77365,0.80453,0.81867,0.82791,0.8411,0.83509,0.88228,0.89658
roc_auc,12,0.67706,0.70298,0.75949,0.76467,0.7796,0.79054,0.82205,0.83094,0.84144,0.86352
roc_auc,13,0.74131,0.79793,0.82834,0.85616,0.86952,0.87236,0.89292,0.89228,0.91323,0.92993
roc_auc,14,0.7498,0.80171,0.82016,0.83741,0.83858,0.83894,0.87188,0.86217,0.86935,0.89028
