,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
roc_auc,17,0.74221,0.76352,0.80108,0.82304,0.85984,0.82384,0.87576,0.87616,0.86027,0.87687
roc_auc,18,0.75299,0.84496,0.82089,0.87798,0.86084,0.85791,0.87867,0.89368,0.90155,0.89951
roc_auc,19,0.74686,0.80683,0.79958,0.84597,0.84425,0.86116,0.8571,0.86947,0.88416,0.90953
roc_auc,20,0.74802,0.78978,0.80425,0.84807,0.85435,0.83944,0.86827,0.87631,0.8644,0.88303
roc_auc,21,0.76691,0.80476,0.82182,0.8607,0.88101,0.85605,0.87082,0.89955,0.90025,0.90251
roc_auc,22,0.77652,0.82627,0.82441,0.87047,0.88016,0.87293,0.87248,0.87326,0.89438,0.90439
roc_auc,23,0.74704,0.80063,0.82051,0.84794,0.85796,0.84976,0.8894,0.86756,0.89343,0.91435
roc_auc,24,0.77987,0.81701,0.85114,0.86871,0.87986,0.84949,0.89366,0.89215,0.90122,0.91059
roc_auc,25,0.74551,0.78486,0.78829,0.8413,0.84438,0.83073,0.86633,0.86809,0.87428,0.90683
roc_auc,26,0.76037,0.85506,0.84316,0.90569,0.90684,0.88233,0.89288,0.8905,0.91853,0.93137
roc_auc,27,0.75858,0.81038,0.80291,0.84254,0.84647,0.84086,0.86009,0.86679,0.87402,0.87777
roc_auc,28,0.775,0.78298,0.81746,0.87685,0.86854,0.85561,0.8761,0.88482,0.89029,0.90474
roc_auc,29,0.77707,0.81275,0.79533,0.82641,0.84724,0.86613,0.856,0.87245,0.88005,0.90535
roc_auc,30,0.79087,0.82638,0.82639,0.89318,0.86944,0.86305,0.87384,0.90473,0.90096,0.90159
roc_auc,31,0.72767,0.80043,0.83208,0.84376,0.85285,0.82482,0.85796,0.85291,0.86169,0.88127
roc_auc,32,0.75825,0.81349,0.78881,0.83232,0.8312,0.80844,0.86974,0.86664,0.87744,0.88454
roc_auc,33,0.78163,0.81532,0.83363,0.86738,0.86118,0.86791,0.89185,0.88624,0.90266,0.89426
roc_auc,34,0.73112,0.77145,0.79594,0.83699,0.84585,0.82589,0.85969,0.86647,0.88002,0.89347
roc_auc,35,0.78945,0.85179,0.85257,0.8963,0.90913,0.89235,0.89423,0.90788,0.9197,0.92812
roc_auc,36,0.78024,0.79718,0.84355,0.88202,0.86506,0.87232,0.88754,0.90732,0.90858,0.92514
roc_auc,37,0.72381,0.81309,0.78093,0.83143,0.82181,0.80035,0.83892,0.86682,0.85902,0.87316
roc_auc,38,0.78112,0.81362,0.83136,0.86798,0.90642,0.8774,0.8991,0.90821,0.89969,0.92226
roc_auc,39,0.79184,0.81005,0.80698,0.86543,0.87316,0.84135,0.87366,0.87031,0.89207,0.89314
roc_auc,40,0.75055,0.80726,0.81944,0.82537,0.86586,0.83698,0.84978,0.88017,0.88057,0.89705
roc_auc,41,0.77256,0.81397,0.83127,0.87092,0.85561,0.8579,0.86153,0.89424,0.88502,0.89398
roc_auc,42,0.74141,0.80776,0.79941,0.86615,0.86111,0.85129,0.88713,0.86638,0.87649,0.90269
roc_auc,43,0.79973,0.83849,0.83192,0.89493,0.88632,0.87454,0.92015,0.90809,0.92188,0.92476
roc_auc,44,0.78297,0.82745,0.84391,0.86469,0.86265,0.86018,0.85545,0.89443,0.90327,0.90317
roc_auc,45,0.76041,0.79859,0.83888,0.86129,0.86107,0.8816,0.87847,0.89263,0.88864,0.90664
roc_auc,46,0.76325,0.8086,0.80326,0.86333,0.84564,0.82848,0.87192,0.87588,0.85877,0.89086
roc_auc,47,0.74482,0.82024,0.83966,0.86657,0.87385,0.87405,0.89432,0.88974,0.89598,0.9119
roc_auc,48,0.77988,0.78275,0.80754,0.85256,0.84273,0.85078,0.85768,0.85692,0.85956,0.87732
roc_auc,49,0.80535,0.83774,0.81931,0.89232,0.87334,0.87156,0.87758,0.90019,0.90175,0.90448
roc_auc,50,0.71377,0.80635,0.78834,0.8498,0.85511,0.83144,0.87142,0.86395,0.87139,0.89722
roc_auc,51,0.78472,0.8242,0.82305,0.87323,0.85335,0.87587,0.88846,0.88341,0.91282,0.92256
roc_auc,52,0.72897,0.76878,0.82099,0.84458,0.86924,0.85839,0.87433,0.88262,0.88407,0.90177
roc_auc,53,0.76065,0.83059,0.83616,0.87539,0.87447,0.88223,0.86262,0.88101,0.90204,0.89864
roc_auc,54,0.78575,0.82282,0.79639,0.87352,0.86026,0.84815,0.88757,0.90279,0.88957,0.91939
roc_auc,55,0.74183,0.82984,0.81242,0.88285,0.86189,0.83556,0.87162,0.87506,0.89663,0.8975
roc_auc,56,0.72437,0.77306,0.77233,0.83155,0.81882,0.8147,0.84123,0.86009,0.85659,0.87781
roc_auc,57,0.77152,0.83322,0.86754,0.8663,0.87069,0.85515,0.9089,0.89381,0.89523,0.92017
roc_auc,58,0.79781,0.83689,0.83477,0.86617,0.87928,0.86337,0.87761,0.90588,0.90291,0.91699
roc_auc,59,0.77941,0.84049,0.84192,0.89649,0.86856,0.87788,0.88922,0.89683,0.91533,0.92049
roc_auc,60,0.71488,0.79387,0.81974,0.87166,0.8621,0.85823,0.87443,0.87799,0.89864,0.90661
roc_auc,61,0.80327,0.84197,0.86972,0.89123,0.8887,0.87094,0.87776,0.90842,0.90194,0.92219
roc_auc,62,0.76746,0.80995,0.79447,0.87145,0.85533,0.8513,0.86484,0.87397,0.88886,0.89906
roc_auc,63,0.76675,0.83368,0.80187,0.84556,0.85862,0.83411,0.86448,0.8574,0.86759,0.89521
roc_auc,64,0.74072,0.78866,0.83167,0.85704,0.86202,0.8552,0.87002,0.87804,0.87627,0.89482
roc_auc,65,0.80914,0.84585,0.83097,0.8831,0.88286,0.88072,0.8901,0.89132,0.90009,0.91026
roc_auc,66,0.77819,0.82902,0.8562,0.89072,0.87057,0.87103,0.8727,0.90834,0.9124,0.91948
roc_auc,67,0.7482,0.80028,0.79543,0.82984,0.8474,0.83812,0.84461,0.85621,0.85872,0.8931
roc_auc,68,0.75491,0.82401,0.80096,0.86216,0.86841,0.8515,0.87365,0.87387,0.89208,0.90415
roc_auc,69,0.76971,0.83747,0.80038,0.86693,0.87124,0.85262,0.88286,0.87876,0.88707,0.90313
roc_auc,70,0.75189,0.83167,0.81287,0.85359,0.8539,0.84979,0.89284,0.87457,0.90488,0.91959
roc_auc,71,0.79654,0.82036,0.84224,0.89908,0.86814,0.86764,0.89249,0.89416,0.89703,0.92063
roc_auc,72,0.73907,0.80134,0.83121,0.87509,0.85925,0.85109,0.88013,0.88485,0.89815,0.90673
roc_auc,73,0.78769,0.81603,0.84225,0.86687,0.89095,0.87535,0.88953,0.91321,0.89821,0.91567
roc_auc,74,0.77953,0.8288,0.83596,0.86373,0.86058,0.85182,0.87015,0.89687,0.89272,0.91204
roc_auc,75,0.7276,0.79865,0.77141,0.82106,0.83985,0.82822,0.84941,0.83804,0.86434,0.88729
roc_auc,76,0.75728,0.81666,0.80568,0.87463,0.87578,0.87462,0.88594,0.88906,0.90284,0.91447
roc_auc,77,0.80048,0.82342,0.83021,0.83564,0.86731,0.85177,0.8794,0.89481,0.87755,0.91015
roc_auc,78,0.76132,0.81803,0.81979,0.8525,0.88152,0.8538,0.87621,0.89474,0.8931,0.92323
roc_auc,79,0.74242,0.80761,0.79782,0.85425,0.82811,0.84195,0.85833,0.8499,0.86324,0.88073
roc_auc,80,0.78192,0.83222,0.81605,0.88278,0.86613,0.87393,0.87416,0.8921,0.90306,0.90992
roc_auc,81,0.79232,0.8015,0.84024,0.87261,0.88406,0.8598,0.88201,0.87824,0.88478,0.90686
roc_auc,82,0.75953,0.81284,0.81846,0.85036,0.87193,0.84306,0.87776,0.86455,0.88565,0.89525
roc_auc,83,0.71604,0.81698,0.82293,0.85118,0.83724,0.83661,0.85821,0.86559,0.87301,0.89817
roc_auc,84,0.72278,0.79092,0.81602,0.83653,0.84162,0.8211,0.84331,0.85201,0.87264,0.88652
roc_auc,85,0.77231,0.81828,0.84034,0.86949,0.8899,0.84482,0.87927,0.88002,0.89751,0.91766
roc_auc,86,0.77791,0.84213,0.85433,0.89451,0.87829,0.89014,0.89737,0.8912,0.90973,0.92802
roc_auc,87,0.79794,0.8025,0.79426,0.87437,0.86062,0.86071,0.88064,0.88249,0.89739,0.90178
roc_auc,88,0.78251,0.83367,0.85157,0.87588,0.87989,0.85501,0.88081,0.88865,0.90832,0.91628
roc_auc,89,0.75376,0.78822,0.80318,0.84802,0.84944,0.82729,0.8522,0.88017,0.86268,0.89147
roc_auc,90,0.77673,0.83121,0.84829,0.87865,0.85822,0.85198,0.89707,0.88913,0.9162,0.92743
roc_auc,91,0.76793,0.80729,0.80899,0.86347,0.86157,0.84633,0.85736,0.87818,0.88577,0.89976
roc_auc,92,0.75362,0.82436,0.83503,0.86153,0.86576,0.83877,0.86635,0.87545,0.89491,0.90019
roc_auc,93,0.77882,0.79844,0.8308,0.8833,0.88726,0.86774,0.88296,0.89138,0.9026,0.91746
roc_auc,94,0.77259,0.81372,0.83166,0.86504,0.86316,0.86308,0.87903,0.87574,0.876,0.90164
roc_auc,95,0.73548,0.80974,0.8188,0.86326,0.86755,0.82266,0.86957,0.84877,0.87709,0.88872
roc_auc,96,0.75232,0.83624,0.85481,0.87961,0.8809,0.85447,0.89539,0.90391,0.93,0.92614
roc_auc,97,0.75242,0.81157,0.77461,0.84775,0.86147,0.83149,0.8631,0.85645,0.88329,0.8778
roc_auc,98,0.78199,0.82923,0.85316,0.85747,0.863,0.86663,0.89292,0.90377,0.90263,0.91657
roc_auc,99,0.74135,0.80948,0.78248,0.82942,0.84313,0.83364,0.846,0.85447,0.85265,0.87746
roc_auc,100,0.73599,0.80452,0.80123,0.84838,0.86978,0.85728,0.87898,0.8624,0.88953,0.90562
