,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
roc_auc,48,0.55483,0.57155,0.67141,0.71505,0.83007,0.86755,0.88148,0.88512,0.88066,0.88129,0.87787
roc_auc,49,0.54919,0.56204,0.70034,0.75255,0.84347,0.88426,0.87953,0.89972,0.89656,0.89969,0.90931
roc_auc,50,0.60864,0.575,0.71389,0.79779,0.87055,0.87504,0.88843,0.90004,0.89287,0.88841,0.88922
roc_auc,51,0.64124,0.60603,0.72841,0.80672,0.8769,0.90178,0.90268,0.91261,0.91396,0.91674,0.9196
roc_auc,52,0.65519,0.61782,0.72599,0.75976,0.82591,0.85523,0.8659,0.88352,0.86929,0.87916,0.86862
roc_auc,53,0.5832,0.59566,0.72197,0.78163,0.85337,0.86984,0.88493,0.89218,0.89068,0.88901,0.88989
roc_auc,54,0.57619,0.58528,0.68326,0.76441,0.85236,0.87715,0.8881,0.90561,0.89425,0.91031,0.90571
roc_auc,55,0.58018,0.57228,0.70638,0.78069,0.87474,0.9032,0.91394,0.92321,0.93055,0.92317,0.91805
roc_auc,56,0.56341,0.55377,0.71932,0.74929,0.86023,0.89982,0.90532,0.91852,0.91258,0.92222,0.92895
roc_auc,57,0.58378,0.56119,0.69256,0.79951,0.83474,0.8717,0.8817,0.88247,0.8725,0.88622,0.86673
roc_auc,58,0.59758,0.57907,0.67347,0.74457,0.83546,0.86393,0.88044,0.88814,0.88096,0.88519,0.88361
roc_auc,59,0.55067,0.58335,0.69383,0.75121,0.85304,0.89595,0.89859,0.91765,0.91124,0.9155,0.91228
roc_auc,60,0.61469,0.59866,0.68558,0.74008,0.83883,0.8757,0.88974,0.89803,0.89696,0.90148,0.90435
roc_auc,61,0.56262,0.54337,0.66309,0.73073,0.80094,0.84427,0.84096,0.85446,0.85777,0.85208,0.855
roc_auc,62,0.55834,0.56775,0.71907,0.7868,0.87949,0.91475,0.91774,0.92032,0.91249,0.91433,0.90226
roc_auc,63,0.56031,0.56223,0.68432,0.77145,0.84468,0.89454,0.91054,0.92258,0.9185,0.92428,0.91678
roc_auc,64,0.56227,0.57724,0.66367,0.72569,0.82476,0.87497,0.88822,0.91332,0.90429,0.91349,0.91389
roc_auc,65,0.50354,0.54309,0.67635,0.71585,0.82982,0.8774,0.8854,0.89483,0.8841,0.88156,0.87462
roc_auc,66,0.5594,0.59368,0.71135,0.80825,0.89055,0.91776,0.91924,0.92499,0.91004,0.91695,0.9123
roc_auc,67,0.55492,0.54461,0.66654,0.74518,0.83299,0.86393,0.88394,0.89338,0.8935,0.89497,0.89526
roc_auc,68,0.55374,0.57375,0.66391,0.73081,0.83862,0.865,0.87447,0.87961,0.87485,0.89081,0.89491
roc_auc,69,0.59751,0.57417,0.65292,0.73887,0.83308,0.85429,0.87416,0.89789,0.87533,0.89683,0.87385
roc_auc,70,0.6281,0.60963,0.74088,0.79025,0.85941,0.88269,0.89293,0.8869,0.88346,0.89599,0.88524
roc_auc,71,0.53878,0.5591,0.72055,0.78074,0.85033,0.89432,0.90486,0.90873,0.90192,0.90916,0.90023
roc_auc,72,0.52027,0.53395,0.6462,0.74926,0.81557,0.85541,0.86622,0.86615,0.86654,0.87406,0.87932
roc_auc,73,0.5773,0.5868,0.69973,0.7799,0.83187,0.868,0.89045,0.90536,0.90085,0.90622,0.9041
roc_auc,74,0.60927,0.60737,0.73039,0.77638,0.87645,0.90488,0.90647,0.92968,0.92161,0.91405,0.91042
roc_auc,75,0.6019,0.58322,0.68724,0.73708,0.82759,0.86774,0.8779,0.89029,0.88326,0.88965,0.89337
roc_auc,76,0.55875,0.58419,0.69874,0.7673,0.84559,0.88867,0.90575,0.91592,0.91307,0.91477,0.91504
roc_auc,77,0.55379,0.51997,0.62373,0.71968,0.82401,0.86043,0.86824,0.87025,0.87762,0.87332,0.87656
roc_auc,78,0.59559,0.57987,0.70231,0.76236,0.84627,0.88665,0.91038,0.92475,0.9246,0.9246,0.92383
roc_auc,79,0.57858,0.61127,0.72398,0.7774,0.85032,0.85911,0.87705,0.88697,0.8679,0.89121,0.87561
roc_auc,80,0.54931,0.52504,0.67331,0.72787,0.78782,0.85575,0.86831,0.88477,0.86815,0.88326,0.87918
roc_auc,81,0.55251,0.5649,0.65892,0.71001,0.83092,0.85252,0.86332,0.8879,0.87558,0.87976,0.87312
roc_auc,82,0.5992,0.58858,0.71092,0.8046,0.86751,0.90391,0.91025,0.9159,0.91145,0.91087,0.9044
roc_auc,83,0.58387,0.59706,0.71282,0.77117,0.85097,0.8891,0.90445,0.91869,0.89975,0.91029,0.90323
roc_auc,84,0.55951,0.5935,0.71757,0.78006,0.8409,0.8679,0.87788,0.88575,0.88252,0.88004,0.88355
roc_auc,85,0.51784,0.52437,0.66462,0.73936,0.87532,0.91097,0.90911,0.92552,0.9243,0.93874,0.92098
roc_auc,86,0.54712,0.55699,0.66005,0.74065,0.82115,0.86355,0.87092,0.88697,0.87904,0.87949,0.8692
roc_auc,87,0.6605,0.65821,0.72884,0.77438,0.84003,0.87463,0.88546,0.88908,0.88805,0.89254,0.89402
roc_auc,88,0.57677,0.56661,0.68895,0.74725,0.8206,0.85997,0.85947,0.88372,0.88855,0.88816,0.88226
roc_auc,89,0.60967,0.60008,0.70747,0.76115,0.83543,0.88363,0.89361,0.90148,0.89289,0.89848,0.89171
roc_auc,90,0.5848,0.56852,0.69948,0.80719,0.87933,0.92698,0.93465,0.9341,0.92711,0.93324,0.92365
roc_auc,91,0.58957,0.58043,0.70345,0.75692,0.83391,0.85871,0.86031,0.86177,0.85506,0.87118,0.85582
roc_auc,92,0.57705,0.56741,0.71207,0.75718,0.82907,0.87428,0.90213,0.92133,0.92904,0.92395,0.91999
roc_auc,93,0.58648,0.60584,0.72878,0.79021,0.84913,0.88856,0.89768,0.91988,0.91025,0.92156,0.91423
roc_auc,94,0.57927,0.59706,0.67234,0.71862,0.8469,0.88366,0.88513,0.8931,0.8873,0.87971,0.87299
roc_auc,95,0.49944,0.5159,0.6553,0.74651,0.82577,0.85073,0.85796,0.86541,0.86593,0.86229,0.86051
roc_auc,96,0.5691,0.56955,0.65798,0.75385,0.84739,0.89774,0.91125,0.926,0.90932,0.9178,0.90616
